feature,abs_train_ic,train_ic,selected,horizon_sessions,fold
corr_qqq_120,0.03877341413990844,0.03877341413990844,True,5,WF_2017_2018
dist_high_252,0.035820557459756035,0.035820557459756035,True,5,WF_2017_2018
corr_spy_120,0.035674668546232614,0.035674668546232614,False,5,WF_2017_2018
mom_skip_252_20,0.0343661502387227,0.0343661502387227,True,5,WF_2017_2018
corr_qqq_60,0.03435772851968044,0.03435772851968044,True,5,WF_2017_2018
downside_vol_120,0.03416465009177509,-0.03416465009177509,True,5,WF_2017_2018
corr_spy_60,0.03336794037248275,0.03336794037248275,False,5,WF_2017_2018
fund_update_count_60d,0.0328592004202688,0.0328592004202688,True,5,WF_2017_2018
vol_120,0.03233048982843469,-0.03233048982843469,False,5,WF_2017_2018
downside_vol_60,0.0323261196539574,-0.0323261196539574,True,5,WF_2017_2018
vol_60,0.03165586459323605,-0.03165586459323605,True,5,WF_2017_2018
best_day_20,0.031126033183603744,-0.031126033183603744,True,5,WF_2017_2018
worst_day_60,0.03111852810819765,0.03111852810819765,False,5,WF_2017_2018
mom_252d,0.030873515527681125,0.030873515527681125,False,5,WF_2017_2018
rel_mom_qqq_252,0.030873515527681125,0.030873515527681125,False,5,WF_2017_2018
rel_mom_spy_252,0.030873515527681125,0.030873515527681125,False,5,WF_2017_2018
vol_20,0.030580062854946834,-0.030580062854946834,True,5,WF_2017_2018
downside_vol_20,0.030460817269449065,-0.030460817269449065,True,5,WF_2017_2018
mom_skip_120_20,0.029893019310214434,0.029893019310214434,True,5,WF_2017_2018
size_log_market_cap,0.029194140456417335,-0.029194140456417335,True,5,WF_2017_2018
ix_mom_60d__macro_tlt_ret60_z252,0.029100702097742993,-0.029100702097742993,True,5,WF_2017_2018
worst_day_20,0.029034206094445163,0.029034206094445163,False,5,WF_2017_2018
dist_high_120,0.027994175841771773,0.027994175841771773,True,5,WF_2017_2018
best_day_60,0.027654184758457212,-0.027654184758457212,True,5,WF_2017_2018
dist_low_20,0.026669482771632613,-0.026669482771632613,True,5,WF_2017_2018
mom_120d,0.0258247945645146,0.0258247945645146,True,5,WF_2017_2018
mom_120d_x_breadth,0.0258247945645146,0.0258247945645146,False,5,WF_2017_2018
rel_mom_qqq_120,0.0258247945645146,0.0258247945645146,False,5,WF_2017_2018
rel_mom_spy_120,0.0258247945645146,0.0258247945645146,False,5,WF_2017_2018
