horizon_sessions,fold,selected_router,economic_score,worst_cut_robust_excess,positive_cut_share,winner_lift,mean_rank_ic
5,WF_2019_2020,BLEND_REGIME,-0.0015505568970437683,-0.00491664681309891,0.32531730126920505,1.1001425627127406,0.028572802414752407
5,WF_2021_2022,BLEND_REGIME,-0.00863260568071942,-0.00893825830205242,0.33134130146082336,1.082908457240469,0.0009627058092561534
5,WF_2023_2024,HGB_REGIME,-0.008198839744415863,-0.00875185735094156,0.32531730126920505,1.225028937953454,-0.010100893074252703
10,WF_2019_2020,BLEND_REGIME,-0.001969141448379057,-0.005638471637317317,0.407557354925776,1.6406447770646027,0.030688962996201767
10,WF_2021_2022,BLEND_REGIME,-0.0018156607438133618,-0.00690071557141718,0.3911022576361221,1.4380195366265243,0.011315580672106938
10,WF_2023_2024,BLEND_REGIME,-0.009260919021824975,-0.012212296568697413,0.3299933199732799,1.6007005920075923,-0.022266830682671105
20,WF_2019_2020,BLEND_REGIME,-0.003791575517553347,-0.008620998064678273,0.3716632443531827,1.4956349533095337,0.015951657158446434
20,WF_2021_2022,RIDGE_REGIME,-0.020326653030898697,-0.0221562379094203,0.3632138114209827,1.22357792002928,0.03135675191854475
20,WF_2023_2024,RIDGE_REGIME,-0.014783107860969853,-0.017318101202190222,0.301937207748831,0.8341570503928356,-0.0046774922782245295
60,WF_2019_2020,BLEND_REGIME,-0.051024062197568325,-0.052040188745160094,0.243668720054757,1.1251034071248192,-0.020383594268254847
60,WF_2021_2022,HGB_REGIME,-0.009775924657751884,-0.010834782751480658,0.3871181938911022,1.381910347984289,0.03575914687966215
60,WF_2023_2024,HGB_REGIME,-0.0344930772357633,-0.03734049065315111,0.31262525050100204,1.0798813370445053,8.538389193606252e-05
120,WF_2019_2020,BLEND_REGIME,-0.14258579236899807,-0.1472657372195194,0.14510609171800137,0.9182851551973382,-0.006995538861888025
120,WF_2021_2022,RIDGE_REGIME,-0.09729560916914497,-0.10704901196133665,0.25697211155378485,0.7659334307846604,-0.0042502005048223185
120,WF_2023_2024,RIDGE_REGIME,0.0023052852571038944,-0.018797313397325727,0.5210420841683366,1.4988829080277675,0.06060132021462429
252,WF_2019_2020,BLEND_REGIME,-0.35174111301226857,-0.3583434954655906,0.11225188227241613,1.038776199373739,0.11649866546411247
252,WF_2021_2022,RIDGE_REGIME,-0.1118893088011003,-0.13094066138238777,0.27954847277556444,1.2756770887294009,-0.06051913339317985
252,WF_2023_2024,RIDGE_REGIME,-0.10856893251788673,-0.11007159302072989,0.17568470273881096,0.8037119273881336,-0.019511242762475352
