symbol,source,rows,first_date,last_date
XLB,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
XLE,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
XLF,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
XLI,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
XLK,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
XLP,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
XLU,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
XLV,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
XLY,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
IEF,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
SHY,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
TIP,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
GLD,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
DBC,YAHOO_RAW_CLOSE,3020,2013-01-02,2024-12-31
