fold,horizon_sessions,prior_skill_20eq,prior_reliability_weight,training_rows
WF_2019_2020,5,0.012894658505344535,0.40651849374326915,148752
WF_2019_2020,10,0.010972397527007533,0.20918340679285513,147532
WF_2019_2020,20,0.010564688311875382,0.18168767829325716,145092
WF_2019_2020,60,0.008045293102681355,0.07605640776313623,135386
WF_2019_2020,120,0.009022038096953632,0.10659976832395274,120944
WF_2019_2020,252,0.0038218578909173565,0.01995424508352966,89533
WF_2021_2022,5,0.012626329932146688,0.18774435492414204,263424
WF_2021_2022,10,0.012651760049931855,0.19096986274812938,261049
WF_2021_2022,20,0.013847713322850147,0.425483799168524,256299
WF_2021_2022,60,0.01114137162787514,0.06943419640366037,237386
WF_2021_2022,120,0.011397687901757627,0.08244021486605206,209486
WF_2021_2022,252,0.010457881003542495,0.043927571889492284,148722
WF_2023_2024,5,0.009857476235495419,0.27605364520969783,377432
WF_2023_2024,10,0.00926216265908448,0.20585124402033628,373947
WF_2023_2024,20,0.009861859168082765,0.27665068479218974,366977
WF_2023_2024,60,0.008007355211483155,0.1109007054532174,339214
WF_2023_2024,120,0.007804936224905416,0.10036957006518189,298127
WF_2023_2024,252,0.005366658820530847,0.030174150459376926,208586
