fold,horizon_sessions,mean_weight,median_weight
WF_2019_2020,5,0.43159144068404065,0.42342094342486636
WF_2019_2020,10,0.21841545375492924,0.21748000082514457
WF_2019_2020,20,0.18476875558463596,0.18725098242291927
WF_2019_2020,60,0.07036319647209376,0.07548498916609618
WF_2019_2020,120,0.08426440960117842,0.09681446151972532
WF_2019_2020,252,0.010596743903121972,0.010101682469011846
WF_2021_2022,5,0.21318749397967335,0.19801713545786354
WF_2021_2022,10,0.203914332890673,0.19860126229313269
WF_2021_2022,20,0.42880617098474677,0.4410859849225121
WF_2021_2022,60,0.0646653885628535,0.06962566926716597
WF_2021_2022,120,0.06607110926584216,0.07681795911691403
WF_2021_2022,252,0.023355504316211174,0.027050100453008586
WF_2023_2024,5,0.30170676888140596,0.289483539973218
WF_2023_2024,10,0.21778297442677422,0.21483921239432635
WF_2023_2024,20,0.2816328972315963,0.2868406289603668
WF_2023_2024,60,0.10298699078675118,0.11023928846989611
WF_2023_2024,120,0.07993523255543952,0.09063907220218122
WF_2023_2024,252,0.01595513611803271,0.016477797469038654
