ticker,first_eligible,last_eligible,eligible_sessions,eligible_at_start,eligible_at_end
AAPL,2019-01-02,2024-12-31,1510,True,True
ABBV,2019-01-02,2024-12-31,1510,True,True
ABNB,2020-12-31,2024-12-31,1006,False,True
ACN,2019-01-02,2024-12-31,1510,True,True
ADBE,2019-01-02,2024-12-31,1510,True,True
ADI,2019-01-02,2024-12-31,1510,True,True
ADSK,2019-01-02,2024-12-31,1510,True,True
AHRT,2023-09-06,2024-12-31,333,False,True
AIFU,2019-01-02,2024-12-31,1510,True,True
AIM,2019-01-02,2024-12-31,1510,True,True
AIP,2021-10-27,2023-03-31,357,False,False
AMAT,2019-01-02,2024-12-31,1510,True,True
AMD,2019-01-02,2024-12-31,1510,True,True
AMGN,2019-01-02,2024-12-31,1510,True,True
AMZN,2019-01-02,2024-12-31,1510,True,True
ANET,2019-01-02,2024-12-31,1510,True,True
APD,2019-01-02,2024-12-31,1510,True,True
AREB,2022-02-07,2024-12-31,729,False,True
ARM,2023-10-02,2024-12-31,315,False,True
ASML,2019-01-02,2024-12-31,1510,True,True
ASNS,2022-05-31,2024-12-31,651,False,True
AVGO,2019-01-02,2024-12-31,1510,True,True
AXP,2019-01-02,2024-12-31,1510,True,True
AZN,2020-09-04,2024-12-31,1087,False,True
AZO,2019-01-02,2024-12-31,1510,True,True
B,2019-01-02,2024-12-31,1510,True,True
BA,2019-01-02,2024-12-31,1510,True,True
BABA,2019-01-02,2024-12-31,1510,True,True
BAC,2019-01-02,2024-12-31,1510,True,True
BBAI,2021-04-30,2021-12-16,161,False,False
BBD,2019-01-02,2024-12-31,1510,True,True
BETR,2021-04-30,2023-09-01,589,False,False
BHP,2019-01-02,2024-12-31,1510,True,True
BIDU,2019-01-02,2024-12-31,1510,True,True
BKNG,2019-01-02,2024-12-31,1510,True,True
BLK,2019-01-02,2024-12-31,1510,True,True
BMY,2019-01-02,2024-12-31,1510,True,True
BNL,2020-09-30,2021-03-19,118,False,False
BNY,2019-01-02,2024-12-31,1510,True,True
