layer,horizon_sessions,feature
BASE,5,fund_update_count_60d
BASE,5,mom_skip_252_20
BASE,5,mom_252d
BASE,5,corr_spy_120
BASE,5,dist_high_252
BASE,5,downside_vol_10
BASE,5,trend_sma_252
BASE,5,corr_qqq_120
BASE,5,corr_spy_60
BASE,5,corr_qqq_60
BASE,5,downside_vol_20
BASE,5,best_day_60
BASE,5,vol_60
BASE,5,downside_vol_60
BASE,5,vol_20
BASE,5,vol_10
BASE,5,worst_day_60
BASE,5,dist_high_120
BASE,5,best_day_20
BASE,5,mom_skip_120_20
BASE,5,mom_120d
BASE,5,size_log_market_cap
BASE,5,downside_vol_120
BASE,5,dist_high_60
BASE,5,skew_60
BASE,5,cash_assets
BASE,5,mom_accel_60_120
BASE,5,chg_eps_diluted_252d
BASE,5,skew_120
BASE,5,fund_update_count_20d
BASE,5,chg_assets_252d
BASE,5,trend_sma_120
BASE,5,dist_high_20
BASE,5,chg_net_income_252d
BASE,5,ocf_assets
BASE,5,dist_low_252
BASE,5,cash_yield
BASE,5,age_cash
BASE,5,ix_rel_mom_qqq_20__regime_breadth_rel_mom_qqq_20_z252
BASE,5,chg_cash_252d
META,5,downside_vol_60
META,5,downside_vol_20
META,5,sector_beta_dispersion
META,5,cash_assets
META,5,size_log_market_cap
META,5,earn_event_return
META,5,sector_beta_max
META,5,earn_growth_composite
META,5,earn_event_growth_operating_income
META,5,earn_event_growth_net_income
META,5,earn_event_growth_revenue
META,5,fundamental_freshness_mean_days
META,5,beta_xlp_60
META,5,base_score
META,5,earn_days_since_event
META,5,beta_xlk_60
META,5,mom_5d
META,5,beta_xlf_60
META,5,beta_xlu_60
META,5,earn_event_growth_operating_cash_flow
META,5,earn_event_surprise_z_operating_cash_flow
META,5,beta_xle_60
META,5,earn_metric_count
META,5,sector_implied_mom_60
META,5,earn_event_surprise_z_eps_diluted
META,5,sector_implied_mom_20
META,5,beta_xlb_60
META,5,beta_xli_60
META,5,sector_residual_mom_120
META,5,ix_earn_surprise_sector_resid20
META,5,rel_mom_spy_20
META,5,earnings_yield
BASE,10,fund_update_count_60d
BASE,10,mom_skip_252_20
BASE,10,mom_252d
BASE,10,corr_spy_120
BASE,10,corr_spy_60
BASE,10,corr_qqq_120
BASE,10,trend_sma_252
BASE,10,size_log_market_cap
BASE,10,corr_qqq_60
BASE,10,best_day_60
BASE,10,dist_high_252
BASE,10,downside_vol_10
BASE,10,best_day_20
BASE,10,downside_vol_20
BASE,10,vol_60
BASE,10,downside_vol_60
BASE,10,vol_20
BASE,10,worst_day_60
BASE,10,skew_60
BASE,10,vol_10
BASE,10,skew_120
BASE,10,mom_accel_60_120
BASE,10,dist_high_120
BASE,10,cash_assets
BASE,10,mom_120d
BASE,10,mom_skip_120_20
BASE,10,downside_vol_120
BASE,10,dist_high_60
BASE,10,chg_assets_252d
BASE,10,dist_high_20
BASE,10,ocf_assets
BASE,10,cash_yield
BASE,10,fund_update_count_20d
BASE,10,dist_low_252
BASE,10,chg_eps_diluted_252d
BASE,10,ix_rel_mom_spy_20__regime_breadth_rel_mom_spy_20_z252
BASE,10,age_cash
