sample,entry_anatomy_class,lifecycles,closed_lifecycles,open_at_end,unique_tickers,mean_holding_sessions,median_holding_sessions,exposure_nav_days,entry_trade_nav_units,resize_trade_nav_units,exit_trade_nav_units,gross_pnl_nav_units,allocated_cost_nav_units,net_pnl_nav_units,gross_active_pnl_nav_units,net_active_pnl_nav_units,avg_daily_raw_return_on_exposure,avg_daily_net_return_on_exposure,avg_daily_active_on_exposure,avg_daily_net_active_on_exposure,positive_lifecycle_pnl_rate,positive_lifecycle_active_rate,median_lifecycle_net_pnl,median_lifecycle_net_active_pnl,contribution_share_of_sample_profit
FINAL_HOLDOUT,POSITIVE_MOMENTUM,388,369,19,80,19.105670103092784,6.0,234.03572440885412,5.814542941027428,16.932477855155373,5.29938584949825,0.24175268141614192,0.028046406645681053,0.21370627477046086,-0.25326307516346847,-0.2813094818091495,0.0010329734147501621,0.0009131352715926468,-0.0010821556230493456,-0.0012019937662068607,0.5412371134020618,0.4896907216494845,6.379432428957242e-05,-6.259791645374097e-06,0.3863579664702586
FINAL_HOLDOUT,MIXED_OTHER,234,231,3,81,14.068376068376068,5.0,100.10690077795735,4.071429463253906,7.305573843002834,4.049253172038574,0.1469085505995038,0.015426256478295312,0.1314822941212085,-0.13250946612616665,-0.14793572260446197,0.001467516719205553,0.0013134188862048931,-0.0013236796374315892,-0.0014777774704322491,0.5811965811965812,0.5128205128205128,8.480684554167438e-05,1.785207705959231e-05,0.23770585041584458
FINAL_HOLDOUT,DEEP_REVERSAL_BROKEN_1Y,203,194,9,65,20.54679802955665,6.0,110.64794013344952,2.944836224162145,9.32621043405463,2.8851472312355897,0.14194553821296868,0.015156193889452364,0.12678934432351632,-0.12089697971845487,-0.13605317360790722,0.0012828574851169571,0.0011458807472655983,-0.0010926274774988513,-0.0012296042153502101,0.6108374384236454,0.5221674876847291,0.0001329970362428738,7.345640608618505e-06,0.2292215017811082
FINAL_HOLDOUT,SHORT_PULLBACK_POSITIVE_1Y,30,29,1,24,17.966666666666665,3.0,16.025810341281506,0.4049578325944852,1.2703972880394856,0.3877244448324311,0.05963286396046119,0.0020630795654664026,0.05756978439499479,0.044300117062176486,0.042237037496710095,0.003721051397123463,0.0035923165923596734,0.0027642980990522583,0.0026355632942884686,0.4666666666666667,0.4666666666666667,-3.490123996408711e-05,-5.500160591164029e-05,0.10407998011697056
FINAL_HOLDOUT,REVERSAL_POSITIVE_1Y,56,49,7,34,13.035714285714286,5.0,11.995552784081577,0.7398604464993164,1.0347356290766372,0.6248756443750444,0.036231844534176036,0.0023994717199509975,0.033832372814225034,-0.004058480496794728,-0.006457952216745725,0.0030204397568286035,0.0028204096487426163,-0.00033833209438921747,-0.0005383622024752042,0.6785714285714286,0.6428571428571429,0.0002895962974658753,7.211764392614496e-05,0.06116529229386209
FINAL_HOLDOUT,WEAK60_BROKEN_1Y,8,8,0,6,15.25,6.0,1.914730674202337,0.08214883077407603,0.16844986753320035,0.07567428394925745,-0.009923557310525423,0.0003262729822565338,-0.010249830292781956,-0.006357472702801289,-0.006683745685057822,-0.005182743162904363,-0.00535314466461554,-0.003320296054404501,-0.003490697556115678,0.5,0.5,-1.3491934172753811e-05,-2.6814360426899634e-05,-0.018530591078048542
PRE2025_OOF,POSITIVE_MOMENTUM,1295,1294,1,180,24.98069498069498,5.0,2190.544280353797,46.30967444163108,106.35864671698945,46.828491457616956,2.386081002775503,0.1994968126162375,2.186584190159265,0.5090453280436558,0.30954851542741835,0.0010892639898564956,0.0009981921889321988,0.0002323830349420918,0.00014131123401779527,0.5544401544401545,0.5019305019305019,8.57001893496685e-05,3.001379861574474e-06,0.5045551865278146
PRE2025_OOF,MIXED_OTHER,648,648,0,162,28.271604938271604,5.0,1149.9315274532976,16.63860824790862,56.517948090700244,18.033724134320636,1.2427207281523525,0.09119028047292949,1.151530447679423,0.009318125476838607,-0.08187215499609092,0.0010806910659320308,0.0010013904482031784,8.103200281389838e-06,-7.119741744746276e-05,0.566358024691358,0.4845679012345679,0.00012108105002229042,-1.534583182609307e-05,0.2657161166883905
PRE2025_OOF,DEEP_REVERSAL_BROKEN_1Y,586,586,0,140,13.633105802047782,4.0,363.13314911764706,12.313342113831716,17.401160652400804,11.814420296473424,0.7182348208427121,0.04152892306270593,0.6767058977800062,0.23262513741979138,0.19109621435708543,0.0019778828305482515,0.0018635200323195186,0.0006406056235434073,0.000526242825314674,0.5853242320819113,0.5170648464163823,8.783141116056407e-05,1.1404398626335303e-05,0.1561501596945115
PRE2025_OOF,SHORT_PULLBACK_POSITIVE_1Y,105,105,0,73,22.295238095238094,3.0,155.01224130104723,4.368508177947631,8.506610834658435,4.44546327959165,0.22046207727029518,0.017320582292197715,0.2031414949780975,0.07996684629869125,0.06264626400649355,0.0014222236606600551,0.0013104867929983612,0.000515874395644591,0.000404137527982897,0.5904761904761905,0.5333333333333333,0.00020115200340659964,1.151212631458506e-05,0.04687498215321293
PRE2025_OOF,WEAK60_BROKEN_1Y,43,43,0,34,37.0,9.0,82.7829397693085,1.010434950412301,4.509172180047724,1.1655014113042323,0.06747504303119735,0.006685108541764256,0.060789934489433095,-0.03336675021609219,-0.04005185875785646,0.0008150839196968637,0.0007343292550232767,-0.000403063122777174,-0.00048381778745076117,0.6511627906976745,0.4883720930232558,0.00041431842170823983,-7.520606013412465e-06,0.014027301977837628
PRE2025_OOF,REVERSAL_POSITIVE_1Y,232,232,0,100,14.35344827586207,5.0,207.01170414348877,6.774527071080923,7.834809135509792,6.777822505776405,0.07632206979644543,0.021387158712367117,0.05493491108407833,-0.21080087759767707,-0.23218803631004414,0.0003686848051042723,0.0002653710393398847,-0.0010183041508201964,-0.001121617916584584,0.6120689655172413,0.5301724137931034,0.00014870258590841894,5.0782409309125035e-05,0.012676252958225756
