sample,field,max_abs_diff
PRE2025_OOF,nav,8.881784197001252e-16
PRE2025_OOF,net_return,9.974659986866641e-17
PRE2025_OOF,turnover,9.8879238130678e-17
PRE2025_OOF,entry_exit_notional,2.220446049250313e-16
PRE2025_OOF,resize_notional,1.6653345369377348e-16
PRE2025_OOF,cost_fraction,9.955686448848144e-17
PRE2025_OOF,holdings,0.0
PRE2025_OOF,cash_weight,9.93129189996722e-17
PRE2025_OOF,max_name_weight,1.1102230246251565e-16
PRE2025_OOF,requested,1.1102230246251565e-16
PRE2025_OOF,executed,1.1102230246251565e-16
PRE2025_OOF,blocked,9.8879238130678e-17
PRE2025_OOF,deviation,9.8879238130678e-17
FINAL_HOLDOUT,nav,2.220446049250313e-16
FINAL_HOLDOUT,net_return,9.8879238130678e-17
FINAL_HOLDOUT,turnover,1.1102230246251565e-16
FINAL_HOLDOUT,entry_exit_notional,1.1102230246251565e-16
FINAL_HOLDOUT,resize_notional,1.249000902703301e-16
FINAL_HOLDOUT,cost_fraction,9.962462712426179e-17
FINAL_HOLDOUT,holdings,0.0
FINAL_HOLDOUT,cash_weight,9.8879238130678e-17
FINAL_HOLDOUT,max_name_weight,9.71445146547012e-17
FINAL_HOLDOUT,requested,1.1102230246251565e-16
FINAL_HOLDOUT,executed,1.1102230246251565e-16
FINAL_HOLDOUT,blocked,0.0
FINAL_HOLDOUT,deviation,2.465190328815662e-32
