ticker,target_weight,current_weight,execution_present,vehicle_available,vehicle,byma_ticker,ratio,unit_usd,target_usd,q_star,quantity,actual_usd,actual_weight,weight_error,abs_weight_error,reason
FDX,0.0893457980848914,0.0,True,True,CEDEAR_BANCO_COMAFI,FDX,10:1,32.25199890136719,28.628441494976016,0.8876485945112207,1,32.25199890136719,0.10065446916421834,0.01130867107932694,0.01130867107932694,INTEGER_NEAREST
NKE,0.0634412928907998,0.0,True,True,CEDEAR_BANCO_COMAFI,NKE,12:1,3.2000001271565752,20.328044304492348,6.352513592727648,6,19.200000762939453,0.05992080958009504,-0.0035204833107047653,0.0035204833107047653,INTEGER_NEAREST
CEPU,0.0614307821431374,0.0,True,True,LOCAL_BYMA_SHARE,CEPU,1 ADR:10 LOCAL,1.4039999961853027,19.683830580420114,14.019822388818728,14,19.65599994659424,0.061343926203360946,-8.685593977645484e-05,8.685593977645484e-05,INTEGER_NEAREST
CAAP,0.0574995527808328,0.0,True,True,CEDEAR_BANCO_COMAFI,CAAP,1:4,97.63999938964844,18.42417458971381,0.18869494781732965,0,0.0,0.0,-0.0574995527808328,0.0574995527808328,INTEGER_NEAREST
TTWO,0.0564075729577276,0.0,True,False,,,,,18.074279226422544,,0,0.0,0.0,-0.0564075729577276,0.0564075729577276,NO_CURRENT_BYMA_VEHICLE
ZTS,0.0522421524270214,0.0,True,False,,,,,16.73958301774365,,0,0.0,0.0,-0.0522421524270214,0.0522421524270214,NO_CURRENT_BYMA_VEHICLE
NUE,0.0497354372361492,0.0,True,True,CEDEAR_BANCO_COMAFI,NUE,16:1,16.316875457763672,15.936374017156215,0.9766804961162824,1,16.316875457763672,0.05092293481227433,0.0011874975761251294,0.0011874975761251294,INTEGER_NEAREST
MPWR,0.046097224872026,0.0,True,False,,,,,14.770607388560702,,0,0.0,0.0,-0.046097224872026,0.046097224872026,NO_CURRENT_BYMA_VEHICLE
VIST,0.0443422055403633,0.0,True,True,CEDEAR_BANCO_COMAFI,VIST,3:1,24.57666778564453,14.208258969989087,0.5781198286892363,1,24.57666778564453,0.07670071729056556,0.03235851175020226,0.03235851175020226,INTEGER_NEAREST
STLD,0.0435410525713299,0.0,True,False,,,,,13.951551196438205,,0,0.0,0.0,-0.0435410525713299,0.0435410525713299,NO_CURRENT_BYMA_VEHICLE
