program_name,current_ratio,ratio_a,ratio_b,caja_code,market_id,origin_ticker,issuer
3M CO,10:1,10,1,8033,MMM,MMM,BANCO_COMAFI
ABBOTT LABORATORIES,4:1,4,1,8065,ABT,ABT,BANCO_COMAFI
ABBVIE INC,10:1,10,1,8528,ABBV,ABBV,BANCO_COMAFI
ABERCROMBIE & FITCH CO-CL A,1:1,1,1,8484,ANF,ANF,BANCO_COMAFI
ACCENTURE PLC,75:1,75,1,8635,ACN,ACN,BANCO_COMAFI
ADECOAGRO SA,1:1,1,1,8498,ADGO,AGRO,BANCO_COMAFI
ADIDAS AG,22:1,22,1,8570,ADS,ADS,BANCO_COMAFI
ADOBE INC,44:1,44,1,8470,ADBE,ADBE,BANCO_COMAFI
ADVANCED AUTO PARTS INC,14:1,14,1,8592,AAP,AAP,BANCO_COMAFI
ADVANCED MICRO DEVICES,10:1,10,1,8481,AMD,AMD,BANCO_COMAFI
AEGON LTD NPV,1:1,1,1,8242,AEG,AEG,BANCO_COMAFI
AGNICO EAGLE MINES LTD,6:1,6,1,8416,AEM,AEM,BANCO_COMAFI
ALIBABA GROUP HOLDING-SP ADR,9:1,9,1,8523,BABA,BABA,BANCO_COMAFI
ALPHABET INC-CL A,58:1,58,1,8442,GOOGL,GOOGL,BANCO_COMAFI
ALTRIA GROUP INC,4:1,4,1,8036,MO,MO,BANCO_COMAFI
ALUMINUM CORP OF CHINA-ADR,1:1,1,1,8365,ACHHY,AOCA,BANCO_COMAFI
AMAZON.COM INC,144:1,144,1,8468,AMZN,AMZN,BANCO_COMAFI
AMBEV SA-ADR,1:3,1,3,8502,ABEV,ABEV,BANCO_COMAFI
AMERICA MOVIL-SPN ADR,1:1,1,1,8268,AMX,AMX,BANCO_COMAFI
AMERICAN AIRLINES GROUP INC,2:1,2,1,8564,AAL,AAL,BANCO_COMAFI
AMERICAN EXPRESS CO,15:1,15,1,8009,AXP,AXP,BANCO_COMAFI
AMERICAN INTERNATIONAL GROUP,5:1,5,1,8069,AIG,AIG,BANCO_COMAFI
AMGEN INC,30:1,30,1,8071,AMGN,AMGN,BANCO_COMAFI
ANALOG DEVICES INC,15:1,15,1,8066,ADI,ADI,BANCO_COMAFI
APPLE INC,20:1,20,1,8445,AAPL,AAPL,BANCO_COMAFI
APPLIED MATERIALS INC,5:1,5,1,8070,AMAT,AMAT,BANCO_COMAFI
ARCOS DORADOS HOLDINGS INC-A,1:2,1,2,8496,ARCO,ARCO,BANCO_COMAFI
ARM HOLDINGS PLC,27:1,27,1,8656,ARM,ARM,BANCO_COMAFI
ASTRAZENECA PLC-SPONS ADR,2:1,2,1,8244,AZN,AZN,BANCO_COMAFI
AT&T INC,3:1,3,1,8177,T,T,BANCO_COMAFI
AUTOMATIC DATA PROCESSING,6:1,6,1,8073,ADP,ADP,BANCO_COMAFI
AVERY DENNISON CORP,18:1,18,1,8075,AVY,AVY,BANCO_COMAFI
AVIS BUDGET GROUP INC,26:1,26,1,8087,CAR,CAR,BANCO_COMAFI
BAIDU INC - SPON ADR,11:1,11,1,8501,BIDU,BIDU,BANCO_COMAFI
BAKER HUGHES CO.,7:1,7,1,8647,BKR,BKR,BANCO_COMAFI
BANCO BILBAO VIZCAYA-SP ADR,1:1,1,1,8229,BBVA,BBVA,BANCO_COMAFI
BANCO BRADESCO-ADR,1:1,1,1,8431,BBD,BBD,BANCO_COMAFI
BANCO SANTANDER BRASIL-ADS,1:1,1,1,8430,BSBR,BSBR,BANCO_COMAFI
BANCO SANTANDER SA-SPON ADR,1:4,1,4,8525,SAN,SAN,BANCO_COMAFI
BANK OF AMERICA CORP,4:1,4,1,8281,BAC,BAC,BANCO_COMAFI
BANK OF NEW YORK MELLON CORP,2:1,2,1,8080,BK,BK,BANCO_COMAFI
BARCLAYS PLC-SPONS ADR,1:1,1,1,8183,BCS,BCS,BANCO_COMAFI
BARRICK GOLD CORP,2:1,2,1,8260,GOLD,GOLD,BANCO_COMAFI
BASF SE,2:1,2,1,8245,BAS,BAS,BANCO_COMAFI
BAYER AG-REG,3:1,3,1,8246,BAYN,BAY,BANCO_COMAFI
