program_name,current_ratio,ratio_a,ratio_b,caja_code,market_id,origin_ticker
3M CO,10:1,10,1,8033,MMM,MMM
ABBOTT LABORATORIES,4:1,4,1,8065,ABT,ABT
ABBVIE INC,10:1,10,1,8528,ABBV,ABBV
ABERCROMBIE & FITCH CO-CL A,1:1,1,1,8484,ANF,ANF
ACCENTURE PLC,75:1,75,1,8635,ACN,ACN
ADECOAGRO SA,1:1,1,1,8498,ADGO,AGRO
ADIDAS AG,22:1,22,1,8570,ADS,ADS
ADOBE INC,44:1,44,1,8470,ADBE,ADBE
ADVANCED AUTO PARTS INC,14:1,14,1,8592,AAP,AAP
ADVANCED MICRO DEVICES,10:1,10,1,8481,AMD,AMD
AEGON LTD NPV,1:1,1,1,8242,AEG,AEG
AGNICO EAGLE MINES LTD,6:1,6,1,8416,AEM,AEM
ALIBABA GROUP HOLDING-SP ADR,9:1,9,1,8523,BABA,BABA
ALPHABET INC-CL A,58:1,58,1,8442,GOOGL,GOOGL
ALTRIA GROUP INC,4:1,4,1,8036,MO,MO
ALUMINUM CORP OF CHINA-ADR,1:1,1,1,8365,ACHHY,AOCA
AMAZON.COM INC,144:1,144,1,8468,AMZN,AMZN
AMBEV SA-ADR,1:3,1,3,8502,ABEV,ABEV
AMERICA MOVIL-SPN ADR,1:1,1,1,8268,AMX,AMX
AMERICAN AIRLINES GROUP INC,2:1,2,1,8564,AAL,AAL
AMERICAN EXPRESS CO,15:1,15,1,8009,AXP,AXP
AMERICAN INTERNATIONAL GROUP,5:1,5,1,8069,AIG,AIG
AMGEN INC,30:1,30,1,8071,AMGN,AMGN
ANALOG DEVICES INC,15:1,15,1,8066,ADI,ADI
APPLE INC,20:1,20,1,8445,AAPL,AAPL
APPLIED MATERIALS INC,5:1,5,1,8070,AMAT,AMAT
ARCOS DORADOS HOLDINGS INC-A,1:2,1,2,8496,ARCO,ARCO
ARM HOLDINGS PLC,27:1,27,1,8656,ARM,ARM
ASTRAZENECA PLC-SPONS ADR,2:1,2,1,8244,AZN,AZN
AT&T INC,3:1,3,1,8177,T,T
AUTOMATIC DATA PROCESSING,6:1,6,1,8073,ADP,ADP
AVERY DENNISON CORP,18:1,18,1,8075,AVY,AVY
