date,segment,v13_ideal_nav,byma_model_nav,personal_portfolio_nav,v13_ideal_index_100,byma_model_index_100,v13_ideal_value_usd,byma_model_value_usd
2019-01-02,PRE2025,1.0000000000,1.0000000000,,100.0000000000,100.0000000000,1000.0000000000,1000.0000000000
2019-01-03,PRE2025,0.9991777066,0.9990619455,,99.9177706618,99.9061945485,999.1777066180,999.0619454854
2019-01-04,PRE2025,1.0312256111,1.0385501020,,103.1225611084,103.8550102016,1031.2256110839,1038.5501020159
2019-01-07,PRE2025,1.0473275073,1.0528451450,,104.7327507257,105.2845145037,1047.3275072572,1052.8451450373
2019-01-08,PRE2025,1.0562117225,1.0591282754,,105.6211722548,105.9128275424,1056.2117225479,1059.1282754244
2019-01-09,PRE2025,1.0681146202,1.0752798838,,106.8114620216,107.5279883814,1068.1146202165,1075.2798838142
2019-01-10,PRE2025,1.0744025335,1.0827333891,,107.4402533546,108.2733389122,1074.4025335459,1082.7333891223
2019-01-11,PRE2025,1.0744762412,1.0813678627,,107.4476241248,108.1367862728,1074.4762412478,1081.3678627281
2019-01-14,PRE2025,1.0696892378,1.0767928636,,106.9689237766,107.6792863645,1069.6892377660,1076.7928636452
2019-01-15,PRE2025,1.0769325465,1.0852200143,,107.6932546502,108.5220014277,1076.9325465018,1085.2200142771
2019-01-16,PRE2025,1.0747249224,1.0862056320,,107.4724922425,108.6205632031,1074.7249224253,1086.2056320314
2019-01-17,PRE2025,1.0827628797,1.0953028450,,108.2762879673,109.5302844972,1082.7628796734,1095.3028449717
2019-01-18,PRE2025,1.0933216786,1.1037723814,,109.3321678636,110.3772381397,1093.3216786359,1103.7723813967
2019-01-22,PRE2025,1.0766455231,1.0838344971,,107.6645523142,108.3834497135,1076.6455231420,1083.8344971346
2019-01-23,PRE2025,1.0771118158,1.0887804101,,107.7111815752,108.8780410089,1077.1118157522,1088.7804100889
2019-01-24,PRE2025,1.0883205676,1.0990779085,,108.8320567575,109.9077908527,1088.3205675747,1099.0779085273
2019-01-25,PRE2025,1.0993297581,1.1125736830,,109.9329758099,111.2573682981,1099.3297580987,1112.5736829814
