"filename","status","source","archived","sha256","bytes"
"BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1.ps1","HISTORY","C:\Users\santi\Downloads\BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1.ps1","C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_PRODUCTION\RELEASES\ALPHA_ENGINE_V4_2_FINAL_20260916\execution_scripts\BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1.ps1","0D24041157D54F6EE6A03F77351FD91CB6B61316DC6E602BEF7D8F55D490F78D","24715"
"BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1B.ps1","HISTORY","C:\Users\santi\Downloads\BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1B.ps1","C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_PRODUCTION\RELEASES\ALPHA_ENGINE_V4_2_FINAL_20260916\execution_scripts\BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1B.ps1","B1AE742468FC06894BE1F9CE2B5BD7C26786EA1EE3969DD34E98B831292621EF","32893"
"BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1C.ps1","HISTORY","C:\Users\santi\Downloads\BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1C.ps1","C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_PRODUCTION\RELEASES\ALPHA_ENGINE_V4_2_FINAL_20260916\execution_scripts\BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1C.ps1","CC3FDA5A0B3B3EF86858A0D7F26AFF80AEC9BD0611AC64F7A4D9C9196C966936","72635"
"BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1D_PREP.ps1","HISTORY","C:\Users\santi\Downloads\BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1D_PREP.ps1","C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_PRODUCTION\RELEASES\ALPHA_ENGINE_V4_2_FINAL_20260916\execution_scripts\BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1D_PREP.ps1","4F42B380BB8C45D751F0D81EF253125B5A169B51DBBD000723B1E351F064BF29","24813"
"BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1F_MARKET.ps1","HISTORY","C:\Users\santi\Downloads\BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1F_MARKET.ps1","C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_PRODUCTION\RELEASES\ALPHA_ENGINE_V4_2_FINAL_20260916\execution_scripts\BOOTSTRAP_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1F_MARKET.ps1","0C0C9FA74B084341C9F5645F634F22DC0258A48069FDEAE27E41D5F65551F95D","14343"
"FINAL_ALPHA_ENGINE_V4.ps1","USED_IN_FINAL_CHAIN","C:\Users\santi\Downloads\FINAL_ALPHA_ENGINE_V4.ps1","C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_PRODUCTION\RELEASES\ALPHA_ENGINE_V4_2_FINAL_20260916\execution_scripts\FINAL_ALPHA_ENGINE_V4.ps1","E29C7F53EB24CE6F42BBBB8128B76978F9EC3AF5B3DE1A1E6AFB0570D81ECE94","711899"
"FINALIZE_ALPHA_ENGINE_V42_AUTOMATION.ps1","USED_IN_FINAL_CHAIN","C:\Users\santi\Downloads\FINALIZE_ALPHA_ENGINE_V42_AUTOMATION.ps1","C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_PRODUCTION\RELEASES\ALPHA_ENGINE_V4_2_FINAL_20260916\execution_scripts\FINALIZE_ALPHA_ENGINE_V42_AUTOMATION.ps1","DD73FE4C60E87D375A38077E2794361FF10657C559358B9EF586F34E373F31DB","202165"
"FINISH_ALPHA_ENGINE_WEB_V31.ps1","HISTORY","C:\Users\santi\Downloads\FINISH_ALPHA_ENGINE_WEB_V31.ps1","C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_PRODUCTION\RELEASES\ALPHA_ENGINE_V4_2_FINAL_20260916\execution_scripts\FINISH_ALPHA_ENGINE_WEB_V31.ps1","1D8897E1C366F10E8CC3521D5D7E2CAF231AE7BAF6DEAF26A4F1246C9150369C","435167"
"FIX_ALPHA_ENGINE_WEB_V32.ps1","HISTORY","C:\Users\santi\Downloads\FIX_ALPHA_ENGINE_WEB_V32.ps1","C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_PRODUCTION\RELEASES\ALPHA_ENGINE_V4_2_FINAL_20260916\execution_scripts\FIX_ALPHA_ENGINE_WEB_V32.ps1","DFE9E73E50AD77071861ADBA877AE3BE9328AA7EF1A3818713DADAEC28E93F3A","44349"
"FREEZE_ALPHA_ENGINE_V42_TO_GITHUB.ps1","HISTORY","C:\Users\santi\Downloads\FREEZE_ALPHA_ENGINE_V42_TO_GITHUB.ps1","C:\Users\santi\OneDrive\Escritorio\ALPHA_ENGINE_PRODUCTION\RELEASES\ALPHA_ENGINE_V4_2_FINAL_20260916\execution_scripts\FREEZE_ALPHA_ENGINE_V42_TO_GITHUB.ps1","700A24FB1E4C7C913F8C93F7A1ED16B57837BACDDC9ABCF37F2AF8EAFF1B007E","20028"
