ticker,provider_symbol,status,rows,last_date
AAPL,AAPL,OK,32,2026-09-15
ABBV,ABBV,OK,32,2026-09-15
ABNB,ABNB,OK,32,2026-09-15
ACN,ACN,OK,32,2026-09-15
ADBE,ADBE,OK,32,2026-09-15
ADI,ADI,OK,32,2026-09-15
ADSK,ADSK,OK,32,2026-09-15
AMAT,AMAT,OK,32,2026-09-15
AMD,AMD,OK,32,2026-09-15
AMGN,AMGN,OK,32,2026-09-15
AMZN,AMZN,OK,32,2026-09-15
ANET,ANET,OK,32,2026-09-15
APD,APD,OK,32,2026-09-15
ARM,ARM,OK,32,2026-09-15
ASML,ASML,OK,32,2026-09-15
AVGO,AVGO,OK,32,2026-09-15
AXP,AXP,OK,32,2026-09-15
AZN,AZN,OK,32,2026-09-15
AZO,AZO,OK,32,2026-09-15
BA,BA,OK,32,2026-09-15
BABA,BABA,OK,32,2026-09-15
BAC,BAC,OK,32,2026-09-15
BBD,BBD,OK,32,2026-09-15
BHP,BHP,OK,32,2026-09-15
BIDU,BIDU,OK,32,2026-09-15
BKNG,BKNG,OK,32,2026-09-15
BLK,BLK,OK,32,2026-09-15
BMY,BMY,OK,32,2026-09-15
BNY,BNY,OK,32,2026-09-15
BP,BP,OK,32,2026-09-15
BRK-B,BRK-B,OK,32,2026-09-15
BSX,BSX,OK,32,2026-09-15
C,C,OK,32,2026-09-15
CAAP,CAAP,OK,32,2026-09-15
CAT,CAT,OK,32,2026-09-15
CDNS,CDNS,OK,32,2026-09-15
CEPU,CEPU,OK,32,2026-09-15
CHTR,CHTR,OK,32,2026-09-15
CL,CL,OK,32,2026-09-15
CMCSA,CMCSA,OK,32,2026-09-15
CMG,CMG,OK,32,2026-09-15
COF,COF,OK,32,2026-09-15
COIN,COIN,OK,32,2026-09-15
COP,COP,OK,32,2026-09-15
COST,COST,OK,32,2026-09-15
CRM,CRM,OK,32,2026-09-15
CRWD,CRWD,OK,32,2026-09-15
CSCO,CSCO,OK,32,2026-09-15
CVX,CVX,OK,32,2026-09-15
DDOG,DDOG,OK,32,2026-09-15
DE,DE,OK,32,2026-09-15
DEO,DEO,OK,32,2026-09-15
DHR,DHR,OK,32,2026-09-15
DIS,DIS,OK,32,2026-09-15
DOW,DOW,OK,32,2026-09-15
EMR,EMR,OK,32,2026-09-15
EOG,EOG,OK,32,2026-09-15
ETN,ETN,OK,32,2026-09-15
FCX,FCX,OK,32,2026-09-15
FDX,FDX,OK,32,2026-09-15
FTNT,FTNT,OK,32,2026-09-15
GD,GD,OK,32,2026-09-15
GE,GE,OK,32,2026-09-15
GILD,GILD,OK,32,2026-09-15
GLOB,GLOB,OK,32,2026-09-15
GOOGL,GOOGL,OK,32,2026-09-15
GS,GS,OK,32,2026-09-15
HD,HD,OK,32,2026-09-15
HON,HON,OK,32,2026-09-15
IBM,IBM,OK,32,2026-09-15
INTC,INTC,OK,32,2026-09-15
INTU,INTU,OK,32,2026-09-15
ISRG,ISRG,OK,32,2026-09-15
ITW,ITW,OK,32,2026-09-15
JD,JD,OK,32,2026-09-15
JNJ,JNJ,OK,32,2026-09-15
JPM,JPM,OK,32,2026-09-15
KEEL,KEEL,OK,32,2026-09-15
KLAC,KLAC,OK,32,2026-09-15
KMB,KMB,OK,32,2026-09-15
KMI,KMI,OK,32,2026-09-15
KO,KO,OK,32,2026-09-15
KR,KR,OK,32,2026-09-15
LAR,LAR,OK,32,2026-09-15
LIN,LIN,OK,32,2026-09-15
LLY,LLY,OK,32,2026-09-15
LMT,LMT,OK,32,2026-09-15
LOW,LOW,OK,32,2026-09-15
LRCX,LRCX,OK,32,2026-09-15
MA,MA,OK,32,2026-09-15
MAR,MAR,OK,32,2026-09-15
MCD,MCD,OK,32,2026-09-15
MCHP,MCHP,OK,32,2026-09-15
MCO,MCO,OK,32,2026-09-15
MDB,MDB,OK,32,2026-09-15
MDLZ,MDLZ,OK,32,2026-09-15
MDT,MDT,OK,32,2026-09-15
MELI,MELI,OK,32,2026-09-15
META,META,OK,32,2026-09-15
MMM,MMM,OK,32,2026-09-15
MO,MO,OK,32,2026-09-15
MPC,MPC,OK,32,2026-09-15
MPWR,MPWR,OK,32,2026-09-15
MRK,MRK,OK,32,2026-09-15
MRVL,MRVL,OK,32,2026-09-15
MS,MS,OK,32,2026-09-15
MSFT,MSFT,OK,32,2026-09-15
MU,MU,OK,32,2026-09-15
NEM,NEM,OK,32,2026-09-15
NFLX,NFLX,OK,32,2026-09-15
NKE,NKE,OK,32,2026-09-15
NOC,NOC,OK,32,2026-09-15
NOW,NOW,OK,32,2026-09-15
NU,NU,OK,32,2026-09-15
NUE,NUE,OK,32,2026-09-15
NVDA,NVDA,OK,32,2026-09-15
NVO,NVO,OK,32,2026-09-15
NXPI,NXPI,OK,32,2026-09-15
ON,ON,OK,32,2026-09-15
ORCL,ORCL,OK,32,2026-09-15
ORLY,ORLY,OK,32,2026-09-15
OXY,OXY,OK,32,2026-09-15
PANW,PANW,OK,32,2026-09-15
PBR,PBR,OK,32,2026-09-15
PEP,PEP,OK,32,2026-09-15
PFE,PFE,OK,32,2026-09-15
PG,PG,OK,32,2026-09-15
PH,PH,OK,32,2026-09-15
PLTR,PLTR,OK,32,2026-09-15
PM,PM,OK,32,2026-09-15
PNC,PNC,OK,32,2026-09-15
PSX,PSX,OK,32,2026-09-15
QCOM,QCOM,OK,32,2026-09-15
RCL,RCL,OK,32,2026-09-15
REGN,REGN,OK,32,2026-09-15
RIO,RIO,OK,32,2026-09-15
ROP,ROP,OK,32,2026-09-15
RTX,RTX,OK,32,2026-09-15
SAP,SAP,OK,32,2026-09-15
SBUX,SBUX,OK,32,2026-09-15
SCHW,SCHW,OK,32,2026-09-15
SHEL,SHEL,OK,32,2026-09-15
SHOP,SHOP,OK,32,2026-09-15
SHW,SHW,OK,32,2026-09-15
SID,SID,OK,32,2026-09-15
SLB,SLB,OK,32,2026-09-15
SNPS,SNPS,OK,32,2026-09-15
SNY,SNY,OK,32,2026-09-15
SONY,SONY,OK,32,2026-09-15
SPCX,SPCX,OK,32,2026-09-15
SPGI,SPGI,OK,32,2026-09-15
STLD,STLD,OK,32,2026-09-15
